,產品代碼,評分,品牌代碼,圖片,商品標題,適用年齡,商品種類,成分1,成分2,成分3,成分4,成分5,成分6,成分7,成分8,成分9,成分10,成分11,成分12,成分13,成分14,成分15
72,LC3,0.07979214422828901,LC,5_15-21-39-07.jpg,紐西蘭ZEALANDIA狂野天廚90g/185g 貓咪無穀主食罐/貓罐頭/保養型主食/貓罐頭-悠懶貓，經典-珍味小羊,成貓,主食罐,去骨羊肉,水,羊內臟,綠唇貽貝,乾燥酵母,決明子膠,胡蘿蔔纖維,鮭魚油,碳酸鈣,洋菜膠,瓜爾豆膠,氯化鉀,氯化膽鹼,牛磺酸,鐵蛋白
73,LC4,0.04913919791895956,LC,5_15-21-39-07.jpg,紐西蘭ZEALANDIA狂野天廚90g/185g 貓咪無穀主食罐/貓罐頭/保養型主食/貓罐頭-悠懶貓，經典-草原野牛,成貓,主食罐,去骨牛肉,水,羊內臟,綠唇貽貝,乾燥酵母,決明子膠,胡蘿蔔纖維,鮭魚油,碳酸鈣,洋菜膠,瓜爾豆膠,氯化鉀,氯化膽鹼,牛磺酸,鐵蛋白
74,LIS1,0.5978348046766326,LIS,7_15-22-03-46.jpg,日本銀湯匙 貓咪餐包 湯包 貓餐包 魚肉餐包 副食餐包 60g，鮪魚,全齡貓,副食罐,鮪魚,鰹魚,魚類萃取物,調味料,增稠劑,,,,,,,,,,
75,LIS2,0.6260480633347786,LIS,7_15-22-03-46.jpg,日本銀湯匙 貓咪餐包 湯包 貓餐包 魚肉餐包 副食餐包 60g，鮪魚、鰹魚、柴魚片,全齡貓,副食罐,鮪魚,鰹魚,魚類萃取物,柴魚片,調味料,增稠劑,,,,,,,,,
76,LIS3,0.6664123572166746,LIS,7_15-22-03-46.jpg,日本銀湯匙 貓咪餐包 湯包 貓餐包 魚肉餐包 副食餐包 60g，鮪魚、鰹魚、吻仔魚,全齡貓,副食罐,鮪魚,鰹魚,魚類萃取物,吻仔魚,調味料,增稠劑,,,,,,,,,
77,LIS4,0.6287401666890582,LIS,7_15-22-03-46.jpg,日本銀湯匙 貓咪餐包 湯包 貓餐包 魚肉餐包 副食餐包 60g，鮪魚、鰹魚、雞胸肉,全齡貓,副食罐,鮪魚,鰹魚,魚類萃取物,雞胸肉,調味料,增稠劑,,,,,,,,,
78,MIX1,0.3926073209587011,MIX,0_15-21-41-24.jpg,MIX什錦貓食 70g 貓零食 貓飼料 寵物零食 貓咪餅乾 貓咪無穀飼料，特鮮銀魚,全齡貓,飼料,雞肉絨,鱈魚肉絨,豌豆,地瓜,家禽油脂,乾燥甜菜,乾燥蕃茄,乾燥海藻,乾燥全蛋,酵母粉,小魚乾,鰹魚,鰹魚,國產蔬菜,牛磺酸
79,MIX2,0.3317404278544057,MIX,0_15-21-41-24.jpg,什錦MIX▸貓餐包▸隨手包▸寵物飼料▸貓咪乾糧▸頂級鮮蝦▸無穀乾糧▸貓咪飼料▸台灣製造,全齡貓,飼料,雞肉絨,鱈魚肉絨,豌豆,地瓜,家禽油脂,乾燥甜菜,乾燥蕃茄,乾燥海藻,乾燥全蛋,酵母粉,蝦仁,鰹魚,鰹魚,國產蔬菜,牛磺酸
80,MIX3,0.33614130000060854,MIX,0_15-21-41-24.jpg,什錦MIX▸貓餐包▸隨手包▸寵物飼料▸貓咪乾糧▸櫻花蝦▸無穀乾糧▸貓咪飼料▸台灣製造,全齡貓,飼料,雞肉絨,鱈魚肉絨,豌豆,地瓜,家禽油脂,乾燥甜菜,乾燥蕃茄,乾燥海藻,乾燥全蛋,酵母粉,櫻花蝦,鰹魚,鰹魚,國產蔬菜,牛磺酸
81,MP1,0.04639276276497869,MP,3_15-21-41-28.jpg,【MonPetit 貓倍麗】成貓乾糧 3lb/1.36kg，海鮮拼盤,成貓,飼料,穀類,肉類,豆粨,動物性脂肪,水解蛋白,鮪魚肉蓉,魚類,蛋,馬鈴薯,乳類,蔬菜粉,綜合礦物質,綜合維生素,牛磺酸,食用色素
82,MP2,0.042775508417782174,MP,3_15-21-41-28.jpg,【MonPetit 貓倍麗】成貓乾糧 3lb/1.36kg，化毛配方,成貓,飼料,穀類,肉類,豆粨,動物性脂肪,纖維素,水解蛋白,魚類,蛋,馬鈴薯,乳類,蔬菜粉,綜合礦物質,綜合維生素,牛磺酸,食用色素
83,MP3,0.004372451020983015,MP,3_15-21-41-28.jpg,【MonPetit 貓倍麗】成貓乾糧 3lb/1.36kg，鮮魚什錦,成貓,飼料,穀類,肉類,豆粨,動物性脂肪,魚類,水解蛋白,蛋,馬鈴薯,乳類,蔬菜粉,綜合礦物質,綜合維生素,牛磺酸,食用色素,
84,MP4,0.5821151331249221,MP,MP4.PNG,Mon Petit貓倍麗®美國經典主食罐 85g,全齡貓,主食罐,雞肉蓉,雞肉,小麥麩質,肉類副產物（豬）,肝臟（豬）,番茄,胡蘿蔔,火雞,修飾玉米澱粉,菠菜,大豆粉,甘胺酸,礦物質（氯化鉀、硫酸鋅、硫酸亞鐵、硫酸錳、硫酸銅、碘化鉀）,牛磺酸,維生素（B1、E、菸鹼酸、本多酸鈣、A、K3、B6、B2、B12、生物素、葉酸、D3）
85,NKo1,0.3181815706577934,NKo,8_15-22-03-47.jpg,【吶一口】貓咪湯罐 80g 無穀 副食罐 鮪魚底罐罐 ，鮪魚、蝦子,全齡貓,副食罐,水,鮪魚,蝦子,魚高湯,,,,,,,,,,,
86,NKo2,0.6215966273488497,NKo,8_15-22-03-47.jpg,【吶一口】貓咪湯罐 80g  無穀 副食罐 鮪魚底罐罐，鮪魚、雞肉,全齡貓,副食罐,水,鮪魚,雞肉,魚高湯,,,,,,,,,,,
87,NKo3,0.46172790676669606,NKo,8_15-22-03-47.jpg,【吶一口】貓咪湯罐 80g 無穀 副食罐 鮪魚底罐罐，鮪魚、柴魚,全齡貓,副食罐,水,鮪魚,柴魚,魚高湯,,,,,,,,,,,
88,NKo4,0.36863281558317945,NKo,8_15-22-03-47.jpg,【吶一口】貓咪湯罐 80g 無穀 副食罐 鮪魚底罐罐，鮪魚、吻仔魚,全齡貓,副食罐,水,鮪魚,吻仔魚,魚高湯,,,,,,,,,,,
89,NOW1,0.2327818254016522,NOW,7_15-21-41-34.jpg,Now! 鮮肉無穀天然糧 幼母貓配方 3磅,幼貓,飼料,去骨火雞肉,乾燥全蛋,豌豆,馬鈴薯,馬鈴薯粉,豌豆粉,天然香料,加拿大芥花籽油（以天然混合生育酚混合保存）,亞麻籽,椰子油（以天然混合生育酚混合保存）,去骨鮭魚肉,去骨鴨肉,益生菌（乾燥嗜酸乳桿菌發酵物、乾燥腸球菌發酵物）,維生素(維生素A、泛酸鈣、β-胡蘿蔔素、核黃素、維生素B6、維生素B12、維生素D3、葉酸）,礦物質（鋅蛋白、硫酸亞鐵、氧化鋅、鐵蛋白、硫酸銅、亞硒酸鈉、銅蛋白、錳蛋白、氧化錳、碘酸鈣)
90,NOW2,0.28638190553586707,NOW,7_15-21-41-34.jpg,Now! 鮮肉無穀天然糧 老貓/減肥貓配方 3磅,老齡貓,飼料,去骨火雞肉,馬鈴薯,豌豆,豌豆纖維,馬鈴薯粉,乾燥全蛋,天然香料,亞麻籽,加拿大芥花油（由天然混合生育酚混合保存）,去骨鮭魚肉,去骨鴨肉,紫芽苜蓿,益生菌（乾燥嗜酸乳桿菌發酵物、乾燥腸球菌發酵物）,維生素(維生素A、泛酸鈣、β-胡蘿蔔素、核黃素、維生素B6、維生素B12、維生素D3、葉酸）,礦物質（鋅蛋白、硫酸亞鐵、氧化鋅、鐵蛋白、硫酸銅、亞硒酸鈉、銅蛋白、錳蛋白、氧化錳、碘酸鈣)
91,QP1,0.08372709213531995,QP,QP1.PNG,Q-Pet 天然松木砂 8L,全齡貓,貓砂,天然松木,,,,,,,,,,,,,,
92,SH1,0.4485882487928568,SH,9_15-22-03-48.jpg,【Schesir 雪詩雅】Schesir 義大利 雪詩雅 貓罐頭 天然水果貓罐 貓咪罐頭 副食罐 【三個寶】，純鮪魚,全齡貓,副食罐,鮪魚,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,,
93,SH2,0.5796365155820322,SH,9_15-22-03-48.jpg,【Schesir 雪詩雅】Schesir 義大利 雪詩雅 貓罐頭 天然水果貓罐 貓咪罐頭 副食罐 【三個寶】，鮪魚、吻仔魚,全齡貓,副食罐,鮪魚,吻仔魚,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,
94,SH3,0.6857488299421942,SH,9_15-22-03-48.jpg,【Schesir 雪詩雅】Schesir 義大利 雪詩雅 貓罐頭 天然水果貓罐 貓咪罐頭 副食罐 【三個寶】，鮪魚、蝦,全齡貓,副食罐,鮪魚,蝦,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,
95,SH4,0.7716673358449009,SH,9_15-22-03-48.jpg,【Schesir 雪詩雅】Schesir 義大利 雪詩雅 貓罐頭 天然水果貓罐 貓咪罐頭 副食罐 【三個寶】，鮪魚、雞肉,全齡貓,副食罐,鮪魚,雞肉,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,
96,SIN1,0.04824753708029765,SIN,12_15-21-45-49.jpg,【SINGEN 信元發育寶】貓用整腸益生菌-5g,全齡貓,保健食品,凝結芽孢桿菌,枯草芽孢桿菌,果寡糖,維生素A,維生素D,維生素B1,維生素B2,維生素B6,,,,,,,
97,SIN2,0.09901232617994701,SIN,6_15-21-45-42.jpg,【SINGEN 信元發育寶】貓用護眼護心牛磺酸片-160錠/罐,全齡貓,保健食品,牛磺酸,膠原蛋白,維生素(A、B1、B2、B6),DHA,海藻粉,,,,,,,,,,
98,SIN3,0.0892329136590021,SIN,4_15-21-45-39.jpg,SINGEN 信元發育寶 貓用毛球剋星天然營養配方化毛膏120g/條 海鮮雞肉風味,全齡貓,保健食品,麥芽萃取,小麥胚芽油,麥苗粉,,,,,,,,,,,,
99,SIN5,0.09189791329219818,SIN,8_15-21-45-44.jpg,SINGEN 信元發育寶 貓用強健骨骼牙齒補充吸收鈣磷配方-250g/罐 貓咪保健 貓咪保健食品 貓咪補鈣 狗狗牙齒保健 貓咪骨骼保健,全齡貓,保健食品,凝結芽孢桿菌,磷酸氫鈣,維生素D3,,,,,,,,,,,,
100,SIN6,0.07934146436277392,SIN,SIN6.PNG,SINGEN 信元發育寶 貓用泌尿道保健情緒舒緩配方蔓越莓軟嚼錠-60錠/罐,全齡貓,保健食品,乙醯葡萄糖胺,B-葡聚醣,色胺酸,GABA,蔓越莓,西番蓮花,南瓜籽,,,,,,,,
101,SIN9,0.0669782173345974,SIN,SIN9.PNG,SINGEN 信元發育寶 任選成貓用添加機能顆粒天然低敏無穀 鴨羊 機能飼料-1.5KG 貓乾糧,幼貓,飼料,脫水鴨肉,新鮮去皮鴨肉,新鮮羊肉,馬鈴薯原粒,豌豆,雞脂（以維生素E及迷迭香混合作為天然保鮮原料）,亞麻籽,卵磷脂,亞麻籽,菊苣根（FOS主要來源）,酵母提取物（MOS主要來源）,維生素(維生素A、維生素D3、維生素E、維生素B1、維生素B2、維生素B12),生物素,泛酸,葉酸
102,Sup1,0.22174548806425648,Sup,11_15-21-39-15.jpg,超級 SP 無膠 70g 貓用主食罐/ 貓罐/ 貓咪主食罐/ 無膠罐，鯖魚、南瓜,成貓,主食罐,水,鯖魚,鮪魚肉,南瓜,豌豆蛋白,鮪魚萃取物,維他命,礦物質,大豆油,鮪魚油,鹽,牛磺酸,,,
103,Sup2,0.2147029670806713,Sup,11_15-21-39-15.jpg,超級 SP 無膠 70g 貓用主食罐/ 貓罐/ 貓咪主食罐/ 無膠罐，鯖魚、紅蘿蔔,成貓,主食罐,水,鯖魚,鮪魚肉,紅蘿蔔,豌豆蛋白,鮪魚萃取物,維他命,礦物質,大豆油,葡萄糖胺,鹽,牛磺酸,,,
104,Sup3,0.4089585127397591,Sup,11_15-21-39-15.jpg,超級 SP 無膠 70g 貓用主食罐/ 貓罐/ 貓咪主食罐/ 無膠罐，鯖魚、鮮蝦、蟹肉,成貓,主食罐,水,鯖魚,鮪魚肉,豌豆蛋白,鮮蝦,蟹肉,鮪魚萃取物,維他命,礦物質,大豆油,益生菌,鹽,牛磺酸,,
105,Sup4,0.451565099722785,Sup,11_15-21-39-15.jpg,超級 SP 無膠 70g 貓用主食罐/ 貓罐/ 貓咪主食罐/ 無膠罐，雞肉、南瓜,成貓,主食罐,水,雞肉,鮪魚肉,南瓜,豌豆蛋白,鮪魚萃取物,維他命,礦物質,大豆油,鹽,牛磺酸,絲蘭萃取物,綠茶,,
106,WJ1,0.383412077626474,WJ,18_15-21-39-29.jpg,偉嘉 貓咪主食罐頭24罐組(185g/入)海陸饗宴餐/海洋鮮魚餐 蝦皮直送 現貨,全齡貓,主食罐,特選上等海鮮魚類,沙丁魚,蔬菜膠,蔬菜油,食用色素,必需維生素,礦物質,,,,,,,,
107,WJ2,0.3610035821562853,WJ,18_15-21-39-29.jpg,偉嘉 貓咪主食罐頭24罐組(185g/入)海陸饗宴餐/海洋鮮魚餐 蝦皮直送 現貨,全齡貓,主食罐,特選上等海鮮魚類,沙丁魚,蔬菜膠,蔬菜油,食用色素,必需維生素,礦物質,,,,,,,,
